operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,98900000,239200000,-140400000,755200,440700000,154000000,35,83.4,1400
regional,201800000,388700000,-186900000,2997000,1409000000,489900000,35,85.1,3400
necSpecialTrainsAdjustments,7400000,10300000,-2900000,2000,5700000,400000,0,0,0
nec,308100000,638200000,-330200000,3754200,1855400000,644300000,35,84.8,4900
ethanAllenExpress,1100000,1100000,0,8900,3000000,1600000,58,89.4,0
vermonter,1400000,1100000,300000,12700,7000000,3200000,52,87.7,0
mapleLeaf,23800000,24500000,-700000,219100,148400000,64099999.99999999,43,84.6,500
theDowneaster,14100000,14500000,-400000,173000,125300000,14700000,12,74,400
newHavenSpringfield,0,20000000,25500000,-5500,169500000,65900000.00000001,11.6,18,90500
keystoneService,36200000,57200000,-21000000,339100,193600000,31500000,16,94.9,500
empireService,45700000,57900000,-12200000,547300,256399999.99999997,64099999.99999999,25,90.6,800
chicagoStLouis,21600000,25800000,-4200000,227500,128600000,42300000,33,79.4,400
hiawathas,16100000.000000002,17900000,-1800000,203900,53100000,16500000,31,94.8,300
wolverines,15400000,18400000,-3000000,128800.00000000001,76800000,29700000,39,57.5,200
illini,13100000,7400000,5700000,128400,102300000,20500000,20,80.3,200
illinoisZephyr,9300000,9900000,-600000,67600,43400000,11200000,26,89.4,200
heartlandFlyer,6100000,7400000,-1400000,38500,22600000,6900000,30,67.3,100
pacificSurfliner,71500000,86000000,-14500000,744000,415100000,70700000,17,87.1,900
cascades,22200000,27100000,-4900000,156200,61300000,24700000,40,56.6,300
capitols,37700000,42600000,-4900000,306600,174300000,21700000,12,91.4,700
sanJoaquins,52500000,62600000,-10100000,387700,365700000,56000000,15,82.1,900
adirondack,2000000,900000,1100000,0,0,0,0,0,0
blueWater,13900000,16300000,-2400000,88500,75000000,16399999.999999998,22,68.3,200
washingtonLynchburg,11700000,10200000,1500000,100600,66400000.00000001,25000000,38,83.1,200
washingtonNewportNews,0,11800000,18600000,-6800,173600000,90500000,40.4,39,80800
washingtonNorfolk,0,16600000.000000002,15000000,1600,126200000,103000000,30.5,27,80800
washingtonRichmond,0,8500000,100000,8400,100000,0,0,0,80800
hoosierState,0,0,0,0,0,0,0,0,0
kansasCityStLouis,10100000,9800000,200000,67200,63100000,13300000,21,79.9,200
pennsylvanian,14400000,16100000.000000002,-1700000,115300,70600000,26600000,38,72.2,200
pereMarquette,6500000,7400000,-900000,46500,25200000,7000000,28,75.3,100
carolinian,18400000,20000000,-1600000,176800,108200000,54800000,50,68.4,300
piedmont,6100000,6600000,-500000,83200,37400000,9400000,25,77.1,300
nonNecSpecialTrainsAdjustments,100000,11500000,-11400000,100,3200000,0,0,0,100
stateSupported,527700000.00000006,619600000,-91900000,4836400,2885300000,714200000,25,82.5,8800
silverStar,19000000,50100000,-31100000,168500,182100000,81100000,44,43,600
cardinal,5800000,22600000,-16800000,62200,63700000,25200000,39,54.3,300
silverMeteor,22300000,53700000,-31400000,169700,212300000,90700000,42,54.6,600
empireBuilder,31900000,76400000,-44500000,195600,321300000,146900000,46,59,1100
capitolLimited,8900000,24500000,-15600000,82500,61700000,35900000,58,30.4,300
californiaZephyr,28900000,76000000,-47100000,160500,252600000,126300000,50,38.6,1000
southwestChief,24200000,69500000,-45300000,118900,241500000,113000000,47,33.7,900
cityOfNewOrleans,8800000,25900000,-17100000,92400,91500000,38300000,40,84.7,400
texasEagle,13400000,33500000,-20100000,133100,108300000,70800000,66,51.4,500
sunsetLimited,7400000,43500000,-36100000,53400,139300000,39000000,28,26.1,500
coastStarlight,17800000,57800000,-40100000,164700,167600000,68500000,41,57.3,500
lakeShoreLimited,15800000,41400000,-25500000,172300,148200000,74500000,50,54.2,500
palmetto,10800000,23000000,-12200000,126800,85400000,35000000,40,59.6,300
crescent,13800000,41100000,-27300000,101700,108900000,49200000,45,52.2,500
autoTrain,79000000,78900000,100000,183200,281900000,156600000,56,54.3,600
longDistanceAdjustments,0,1800000,-1800000,0,0,0,0,0,0
longDistance,307800000,719800000,-412100000,1985300,2466400000,1151100000,47,51.1,8600
ancillary,314700000,308900000,5900000,0,284000000,,,
infrastructure,233900000,358500000,-124600000,7100,571820400000,,,
amtrak,1692200000,2645100000,-952900000,10575900,7207100000,2509600000,35,77.6,22300
