operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,199500000,219600000,-20100000,1250200,431700000,249400000,1.4,3547,
regional,355700000,3000000,75000000,-19400,4212800000,1294700000,751.8,3,8138300
necSpecialTrainsAdjustments,4300000,7300000,-3000000,0,3100000,0,0,266,
nec,559500000,602000000,-42500000,5463100,1729500000,1001200000,4.4,11951.3,
ethanAllenExpress,1900000,4099999.9999999995,-2200000,30600,14900000,1700000,0,200.9,
vermonter,6000000,6500000,-500000,52100,34800000,5800000,0.1,190.5,
mapleLeaf,22000000,25900000,-3900000,240400,156100000,45400000,0.5,1006,
theDowneaster,11600000,12800000,-1200000,252800,102500000,22200000,0.3,2396,
newHavenSpringfield,0,13600000,22500000,-8900,207200000,65099999.99999999,11.8,0.3,3762800
keystoneService,20400000,49900000,-29500000,487700,153000000,33000000,0.4,2740.9,
empireService,35900000,49500000,-13600000,635800,192700000,103300000,0.6,2967.2,
chicagoStLouis,25100000,26900000,-1800000,293000,154500000,55100000,0.5,1912,
hiawathas,13700000,16300000,-2600000,286200,55100000,23100000,0.3,3087,
wolverines,22200000,27800000,-5600000,221700,106300000,48800000,0.4,1444,
illini,13500000,10600000,3000000,155400,96200000,25200000,0.2,698,
illinoisZephyr,12100000,11200000,900000,87500,49900000,14400000,0.2,967,
heartlandFlyer,4900000,5400000,-600000,37800,18200000,6900000,0.1,479,
pacificSurfliner,63200000,76800000,-13600000,955800,431900000,94600000,1,4944,
cascades,24800000,28600000,-3800000,230400,79500000,35800000,0.4,1441.7,
capitols,33400000,37700000,-4300000,410800,164700000,30900000,0.6,5040,
sanJoaquins,52800000,59500000,-6700000,439500,346400000,64000000,0.9,2878,
adirondack,1300000,1300000,-100000,0,0,0,0,0,
blueWater,9000000,10400000,-1400000,85200,51300000,16500000,0.2,484,
washingtonLynchburg,6100000,7600000,-1500000,124100,51400000,17500000,0.1,178.6,
washingtonNewportNews,0,7700000,10700000,-3000,139100000,53500000,17.4,0.1,217100
washingtonNorfolk,0,10000000,13100000,-3100,154000000,88400000,20.8,0.2,320200
washingtonRichmond,0,6300000,4600000,1700,45800000,25700000,3.9,0.1,114000
hoosierState,0,0,0,0,0,0,0,0,
kansasCityStLouis,8400000,7400000,1000000,69800,38600000,13500000,0.2,641,
pennsylvanian,9600000,13600000,-4000000,109100,50700000,23000000,0.2,384.2,
gulfCoastLimited,0,0,0,0,0,0,0,0,
pereMarquette,4800000,6900000,-2100000,49200,17500000,7500000,0.1,481,
carolinian,13000000,14000000,-1100000,161900,82600000,34300000,0.2,327,
piedmont,5900000,5900000,100000,131400,40700000,15500000,0.2,1426,
nonNecSpecialTrainsAdjustments,900000,12000000,-11100000,0,3300000,0,0.1,604,
stateSupported,459900000,579400000,-119500000,6094300,2725600000,791900000,8.6,41331.9,
silverStar,31300000,70100000,-38900000,262900,237200000,127400000,0.7,483,
cardinal,4900000,17300000,-12400000,51900,35400000,17900000,0.2,202,
silverMeteor,11100000,22700000,-11600000,79200,76000000,41800000,0.3,214,
empireBuilder,24100000,69000000,-44900000,169600,256300000,111600000,1,784,
capitolLimited,10000000,25400000,-15300000,99800,74500000,42600000,0.3,444,
californiaZephyr,31800000,75600000,-43800000,187900,230600000,124100000,1,492,
southwestChief,23300000,62500000,-39200000,127700,204100000,110900000,0.9,412,
cityOfNewOrleans,9200000,26000000,-16800000,101100,93600000,40100000,0.4,406,
texasEagle,14000000,35100000,-21100000,154200,118900000,74700000,0.6,448,
sunsetLimited,6900000,34600000,-27700000,46300,103000000,34400000,0.4,204,
coastStarlight,25600000,57600000,-32000000,209600,175000000,92100000,0.6,446,
lakeShoreLimited,16500000,41800000,-25300000,176700,133900000,71000000,0.5,800,
palmetto,15400000,26900000,-11500000,178900,102400000,41400000,0.4,457,
crescent,17700000,42600000,-24900000,136100,129199999.99999999,55700000,0.5,418,
autoTrain,79200000,63900000,1000000,5300,188300000,243900000,99,0.4,476000
longDistanceAdjustments,0,17200000,-17100000,0,0,0,0,0,
longDistance,321000000,688300000,-367300000,2170200,2214100000,1084500000,8.3,6686,
ancillary,243300000,234100000,9200000,0,3000000,,,
infrastructure,167700000,263399999.99999997,-95700000,5300,423453400000,,,
amtrak,1751400000,2000000,367200000,-615800,13727600000,6669100000,2877.7,21.3,59969300
