operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,103800000,127900000,-24000000,687500,261100000.00000003,137500000,44,82.2,800
regional,202400000,221300000,-18900000,2409100,819700000,433400000,51,80.6,1900
necSpecialTrainsAdjustments,2300000,3300000,-1000000,0,1700000,0,0,0,0
nec,308600000,352400000,-43900000,3096600,1082400000,570800000,49,80.9,2700
ethanAllenExpress,900000,2300000,-1400000,18000,9200000,1000000,11,93.4,0
vermonter,3700000,3800000,-100000,32200.000000000004,21400000,3700000,17,84.5,100
mapleLeaf,12600000,15600000,-3000000,139700,97100000,26300000,28,82.8,300
theDowneaster,6900000,7500000,-500000,147100,62500000,12800000,20,82.1,200
newHavenSpringfield,0,9100000,13500000,-4500,122500000,40300000,7.1,21,88200
keystoneService,12800000,28500000,-15700000,283400,90200000,19400000,20,92.7,300
empireService,23400000,30100000,-6700000,375900,119400000,60700000,48,91.6,400
chicagoStLouis,14800000,15600000,-800000,165400,95500000,30600000,33,78,300
hiawathas,7900000,9500000,-1600000,162500,33800000,13100000,32,94.4,200
wolverines,13800000,16200000,-2300000,126800,69200000,27700000,39,53.2,300
illini,9100000,6900000,2100000,102300,69900000,16500000,26,57.3,200
illinoisZephyr,7200000,5800000,1400000,50900,31300000,8400000,26,87.2,200
heartlandFlyer,2900000,3200000,-300000,20400,10200000,3700000,36,78.9,100
pacificSurfliner,38300000,44800000,-6600000,523700.00000000006,269900000,51700000,18,83.2,600
cascades,14600000,16500000,-1900000,132200,49400000,20500000,36,57.7,200
capitols,20100000,22000000,-1900000,237600,103300000,17800000,15,82.5,400
sanJoaquins,31500000,34800000,-3300000,251600,213700000,36700000,17,75.7,500
adirondack,1200000,800000,500000,0,0,0,0,0,0
blueWater,5500000,6200000,-700000,49700,32200000.000000004,9500000,29,58.6,100
washingtonLynchburg,3800000,4500000,-700000,66900,31200000,9600000,30,78.8,100
washingtonNewportNews,0,3400000,7200000,-3700,90300000,37000000,11.4,26,74100
washingtonNorfolk,0,5300000,7600000,-2300,81200000,54500000,11,19,74100
washingtonRichmond,0,3100000,2500000,600,22400000,15600000,1.9,11,74100
hoosierState,0,0,0,0,0,0,0,0,0
kansasCityStLouis,5700000,4900000,800000,44800,29300000,8400000,32,64.4,100
pennsylvanian,5200000,7900000,-2700000,64500,31500000,13500000,42,66.9,100
gulfCoastLimited,0,0,0,0,0,0,0,0,0
pereMarquette,3000000,4500000,-1600000,27600,10700000,4200000,40,69.4,100
carolinian,7900000,8100000,-200000,91200,53000000,19400000,38,72.9,100
piedmont,3800000,3700000,100000,75300,26400000,8900000,32,74.9,200
nonNecSpecialTrainsAdjustments,700000,6800000,-6100000,0,2700000,0,0,0,0
stateSupported,278500000,341300000,-62800000,3506000,1710500000,455300000,26,80.4,5400
silverStar,14800000,37700000,-23000000,131300,117600000,59700000,48,41.5,400
cardinal,2900000,9800000,-6900000,31500,22300000,10700000,43,56.6,100
silverMeteor,11000000,22300000,-11200000,79200,76000000,41800000,51,44.2,300
empireBuilder,14900000,42900000,-28000000,110400,172400000,68700000,38,43.6,700
capitolLimited,5800000,14700000,-8800000,56500,43300000,24400000,56,34.6,200
californiaZephyr,18700000,45800000,-27100000,118800,154600000,74400000,47,45.2,700
southwestChief,14400000,38500000,-24000000,78300,136700000,67700000,49,46,600
cityOfNewOrleans,5300000,15800000,-10500000,60100,60400000,22900000,35,76,300
texasEagle,8199999.999999999,20200000,-12100000,89400,68100000,43100000,58,67,400
sunsetLimited,4000000,19800000,-15800000,26000,64800000,19000000,29,39.8,300
coastStarlight,14700000,35000000,-20300000,119600,109100000,52600000,46,56.1,400
lakeShoreLimited,10500000,26400000,-15800000,115000,91900000,45800000,46,60.8,300
palmetto,8400000,16000000,-7600000,99500,63200000,22900000,35,74.7,200
crescent,10700000,26700000,-16000000,84700,87000000,33600000,38,58.3,400
autoTrain,46100000,36800000,9300000,110200,151900000,74400000,50,32.6,200
longDistanceAdjustments,0,1600000,-1600000,0,0,0,0,0,0
longDistance,190400000,409800000,-219400000,1310400,1419400000,661900000,45,51.6,5500
ancillary,141100000,135300000,5800000,0,3000000,,,
infrastructure,104800000,155200000,-50400000,3300,260989000000,,,
amtrak,1023300000,1394100000,-370700000,7913100,4212300000,1688000000,38,75.8,13700
