operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,87400000,101000000,-13600000,564900,210800000,113000000,44,82.3,700
regional,174100000,178200000,-4099999.9999999995,2016900,680800000,364100000,51,80.1,1600
necSpecialTrainsAdjustments,1900000,2700000,-800000,0,1300000,0,0,0,0
nec,263399999.99999997,281900000,-18500000,2581700,892900000,477100000,49,80.6,2300
ethanAllenExpress,700000,1800000,-1100000,15100,7500000,800000,11,93.2,0
vermonter,2800000,3100000,-300000,27800,17800000,3200000,18,83.7,100
mapleLeaf,9300000,12600000,-3200000,117500,78800000,22300000,29,82.9,200
theDowneaster,5400000,6000000,-600000,119500,50300000,10300000,20,82.5,200
newHavenSpringfield,0,6700000,11000000,-4300,103300000,32500000,6,23,87900
keystoneService,9700000,22200000,-12500000,239400,73700000,16399999.999999998,20,93,200
empireService,25500000,23700000,1800000,314600,98600000,50900000,49,92.1,300
chicagoStLouis,11900000,12200000,-300000,137800,78100000,25600000,33,79.8,300
hiawathas,6100000,7300000,-1200000,138900,28900000,11200000,31,94.8,100
wolverines,10700000,12500000,-1800000,105800,58100000,23100000,39,56.7,200
illini,7500000,6000000,1500000,89800,62600000,14500000,26,59.1,100
illinoisZephyr,6000000,4500000,1500000,42900,25700000,7100000,27,88.6,100
heartlandFlyer,2300000,2500000,-200000,17600,8800000,3200000,36,80.5,100
pacificSurfliner,30600000,35600000,-5000000,425500,217700000,42200000,18,83.3,500
cascades,11000000,13400000,-2400000,110000,40200000,17100000,35,56.1,200
capitols,16399999.999999998,17600000,-1100000,199300,85200000,14900000,15,83.7,300
sanJoaquins,25700000,28100000,-2400000,208600,173100000,30700000,18,76,400
adirondack,500000,600000,0,0,0,0,0,0,0
blueWater,4200000,4800000,-600000,42700,27300000,8199999.999999999,30,63.3,100
washingtonLynchburg,2500000,3500000,-1000000,57400,25200000,8300000.000000001,33,80,100
washingtonNewportNews,0,3100000,6000000,-3000,80500000,32100000,10.2,26,72900
washingtonNorfolk,0,3900000,5900000,-2100,68400000,44000000,9.2,19,72900
washingtonRichmond,0,1600000,1900000,-300,18300000,12500000,1.5,11,72900
hoosierState,0,0,0,0,0,0,0,0,0
kansasCityStLouis,4700000,4300000,400000,40600,26600000,7500000,32,62.9,100
pennsylvanian,4800000,6200000,-1400000,55100,25600000,11700000,45,65.3,100
gulfCoastLimited,0,0,0,0,0,0,0,0,0
pereMarquette,2100000,3200000,-1000000,23800,8800000,3700000,42,72,0
carolinian,6400000,6500000,-100000,77300,43700000,16600000.000000002,39,70.9,100
piedmont,3000000,2900000,0,61900,22400000,7400000,31,75.2,100
nonNecSpecialTrainsAdjustments,700000,5300000,-4500000,0,900000,0,0,0,0
stateSupported,226100000,271100000,-45100000,2939500,1406800000,383800000,26,80.7,4400
silverStar,11200000,27200000,-16000000,102900,89200000,45300000,47,40.7,400
cardinal,2500000,7700000,-5300000,27300,18500000,9200000,43,56,100
silverMeteor,11000000,21800000,-10800000,79200,76000000,41800000,51,44.2,300
empireBuilder,13100000,35100000,-22000000,97100,151200000,60600000,39,45.2,600
capitolLimited,5300000,12300000,-7000000,50500,38100000,21900000,57,35.7,200
californiaZephyr,16100000.000000002,37400000,-21300000,97500,132500000,65099999.99999999,47,43.7,600
southwestChief,12800000,31800000,-19000000,68900,117400000,59400000,50,46.1,500
cityOfNewOrleans,4600000,13000000,-8400000,51800,50900000,19900000,36,76.6,200
texasEagle,7100000,16500000,-9400000,77100,58000000,37200000,58,67.7,300
sunsetLimited,3300000,15600000,-12300000,22300,52600000,16300000,31,40.5,200
coastStarlight,13200000,29200000,-16000000,105500,94200000,46700000,46,54.9,300
lakeShoreLimited,9400000,22000000,-12700000,101300,80800000,40800000,46,61.4,300
palmetto,6900000,12300000,-5400000,79600,49400000,18300000,35,73,200
crescent,9300000,21500000,-12300000,71400,72600000,28800000,39,56.4,300
autoTrain,37300000,29400000,7900000,89300,123300000,72200000,60,25.9,200
longDistanceAdjustments,0,1400000,-1400000,0,0,0,0,0,0
longDistance,163000000,334300000,-171300000,1121700,1204700000,583700000,46,50.8,4700
ancillary,110400000,108500000,1900000,0,3000000,,,
infrastructure,84200000,123100000,-39000000,2700,212509600000,,,
amtrak,847100000,1119000000,-271900000,6642900,3504400000,1444600000,39,75.6,11400
